261,  لتكن  $(a_n)_{n \in \mathbb{N}}$  المتتالية المعرفة ب  $a_0=a_1=1$  و  $a_{n+1}=a_na_{n-1}+1$  لكل  $n\ge 1$.  أثبت أن $4$ لا يقسم  $a_{2015}$.  ,1
262,  لتكن  $(a_n)_{n \in \mathbb{N}}$   المتتالية المعرفة بـ $a_0=a_1=1$  و $a_{n}=\frac{a_{n-1}^{2}+2}{a_{n-2}}$  لكل $n \ge 2$ .   أثبت أن  $a_n$   عدد صحيح لكل $n \ge 0$.  ,2
254,  احسب المجموع  $\sum_{k=1}^n \dfrac{k}{2^k}$.   ,1
255," جد الصيغة العامة للمتتالية $$1,2,2,3,3,3,4,4,4,4,5,5,5,5,5 \cdots$$ ",1
258,  نعرف المتتالية  $(a_n)_{n \in \mathbb{N^*}}$  بـ  $a_1 = \frac{1}{2}$  ، و  $a_{1}+a_{2}+\cdots+a_{n}=n^{2} a_{n}$  لكل  $n \ge 1$.  جد الصيغة العامة للمتتالية.  ,1
259,   نعرف المتتالية  $(a_n)_{n \in \mathbb{N}}$  بـ  $a_0=2$   و  $a_{n+1}=\dfrac{a_n}{1+a_n}$  لكل  $n\ge 0$.  احسب  $a_{2015}$. ,1
268, جد كل كثيرات الحدود  $P(X)$   التي معاملاتها حقيقية وتحقق $P(X^2)=P(X)P(X+1)$ ,2
269,  لتكن   $P(X)$   كثيرة حدود تحقق  $P(X-1)+P(X+1) =2P(X)$ . أثبت أن درجة  $P(X)$  أقل من أو تساوي $1$.  ,1
272, لیکن $a$ عددا صحيحا موجبا تماما وأوليا مع $10$. أثبت أن للعددين $a$ و $a^{101}$ نفس الأرقام الثلاثة الأخيرة في كتابتيهما في نظام الإعداد في الأساس عشرة.  ,1
273," لیکن $p$ عددا صحيحا موجبا تماما، نقول عن عدد صحيح موجب تماما $n$ إنه $p-$آمن إذا كانت القيمة المطلقة للفارق بين $n$ وأي مضاعف للعدد $p$ أكبر تماما من $2$. فمثلا مجموعة الأعداد ال$10-$آمنة هي  $\{3, 4, 5, 6, 7, 13, 14, 15, 16, 17, 23, \ldots \}$ . جد عدد الأعداد التي هي أقل من $10,000$ و $7-$آمنة، و $11-$آمنة، و $13-$آمنة في نفس الوقت.   ",1
274, جد كل الأعداد الصحيحة $ n < 589$ التي تجعل $589$ يقسم  $n^2 + n + 1$ . ,1
275, أثبت أنه مهما اخترنا $16$ مكعبات كاملة يوجد من بينهما مكعبان الفارق بينهما يقبل القسمة على $91$.  ,1
276," لیکن $n$ عددا صحيحا موجبا تماما. حدد بدلالة $n$، عدد الأعداد  $x \in \{1, 2, \ldots, n \}$ التي تحقق $x^2 \equiv x \pmod n$ .  ",2
277," لتكن  $a > b > c \geq 3$ أعدادا صحيحة. إذا علمت أن $a$ يقسم $bc + b + c$ ، و $b$ يقسم   $ca + c + a$  ، و $c$ يقسم  $ab + b + c$ ، فأثبت أن أحد الأعداد $a, b, c$  على الأقل ليس أوليا.  ",2
278," حدد كل الأعداد الصحيحة الموجبة تماما $n$ التي تحقق: لكل عدد صحیح $a$، متتالية بواق قسمة $a, a^2, a^3, \ldots$ على $n$، دورية.   ",2
279," جد عدد التبدیلات  $(a_1, a_2, \ldots, a_{30})$ ل  $1, 2, \ldots, 30$ التي تجعل $m$ يقسم  $a_{n+m} - a_n$ لكل  $m \in \{2, 3, 5 \}$ وكل عدد صحیح $n$ حيث  $1 \leq n < n + m \leq 30$ .   ",2
280," أثبت أنه لكل عدد صحيح موجب تماما $n$، توجد أعداد صحيحة $k_0, k_1, \ldots, k_n$ أولية معا مثنى مثنى، كلها أكبر تماما من $1$، وتجعل المقدار  $k_0 k_1 \cdots k_n-1$ حاصل ضرب عددين صحيحين متتاليين.   ",3
281," لیکن $n$ عددا صحيحا موجبا تماما. أثبت أن $\sum\limits_{\substack{1 \leq k \leq n \\ \mathrm{gcd}(k,n) = 1}} \mathrm{gcd}(k - 1,n) = \varphi(n) \tau(n)$ حيث  $\tau(n)$ هو عدد قواسم $n$.  ",3
282,  أثبت أنه لكل عدد صحيح موجب تماما $n$ يوجد $n$ أعداد صحيحة متتالية لايوجد من بينها عدد هو قوة لعدد أولي. ,3
246,  جد القاسم المشترك الأكبر بين $19! + 19$  و $20! + 19$ . ,1
247, إذا علمت أن  $$ 1+\frac{1}{2}+\cdots+\frac{1}{2015}=\frac{n}{2015 !} $$ فجد باق قسمة $n$ على $2011$.  ,1
248, لیکن $ p$ عددا أوليا فرديا. أثبت أن $$ 1^{2} \times 3^{2} \times 5^{2} \times \cdots \times(p-2)^{2} \equiv 2^{2} \times 4^{2} \times 6^{2} \times \cdots \times(p-1)^{2} \equiv(-1)^{\frac{p+1}{2}}(\bmod p) $$   ,1
249," لیکن $p \geq 3$  عددا أوليا، و  $\left\{a_{1} , a_{2} , \ldots, a_{p-1} \right\}$ و  $\left\{ b_{1}, b_{2}, \ldots, b_{p-1}\right\}$  مجموعتين ليس في إحداهما مضاعف للعدد $p$ ولا عددان لهما نفس باق القسمة على $p$. أثبت أن في المجموعة $\left\{a_{1} b_{1}, a_{2} b_{2}, \ldots, a_{p-1} b_{p-1}\right\}$ عددين لهما نفس باق قسمة على $p$. ",1
250,  لیکن $p$ عددا أوليا فرديا. أثبت أنه يوجد عدد صحيح وحيد  $p^2 \geq k \geq 1$ يجعل المقدار $k(k+1)(k+2) \cdots(k+p-3)-1$  يقبل القسمة على  $p^2$ . ,3
